cpt_code,name,desc,short_desc
86152,Cell enumeration &id,"CPT code 85056, also known as ""cell enumeration and identification,"" is used to count and identify different types of cells in a sample, such as blood or tissue. This procedure is often performed in a laboratory setting using various techniques, such as flow cytometry or manual counting, to determine the number and types of cells present.

Uses: 
Cell enumeration and identification is a useful tool in diagnosing and monitoring various medical conditions, including infections, autoimmune disorders, and cancers. It can also be used to assess the immune system's response to treatment or to track the progression of a disease.

Common Reasons to Perform the Procedure: 
This procedure is commonly performed to diagnose and monitor conditions such as leukemia, lymphoma, HIV, and autoimmune disorders like lupus or rheumatoid arthritis. It can also be used to evaluate the effectiveness of chemotherapy or other treatments for cancer or to monitor the health of transplant patients.

Relevant Medical Conditions: 
Cell enumeration and identification is relevant for a wide range of medical conditions, including blood disorders, immune system disorders, and cancers. Some specific conditions that may require this procedure include acute or chronic leukemia, lymphoma, HIV/AIDS, lupus, rheumatoid arthritis, and organ transplant recipients. It can also be used to monitor the","
Cell enumeration &id is a procedure used to count and identify specific types of cells in a sample. It is often done to diagnose and monitor diseases, such as leukemia, by counting the number of abnormal cells in a blood sample."
86153,Cell enumeration phys interp,"Cell enumeration phys interp is a CPT procedure code used to describe the process of counting and interpreting cells in a sample. This procedure is typically used in the field of pathology and involves analyzing samples from blood, tissue, or other bodily fluids to determine the number and characteristics of different types of cells present. The results of cell enumeration phys interp can provide important information for diagnosing and monitoring various medical conditions, such as infections, cancers, and autoimmune disorders. Common reasons for performing this procedure include evaluating the effectiveness of treatments, monitoring disease progression, and identifying abnormalities in cell counts. Relevant medical conditions that may require cell enumeration phys interp include leukemia, lymphoma, HIV/AIDS, and autoimmune diseases. 
","
Cell enumeration phys interp is a procedure used to count and interpret the number of cells present in a sample. It may be done to diagnose and monitor blood disorders, such as leukemia or anemia."
86890,Autologous blood process,"CPT code for Autologous blood process refers to the process of collecting, preparing, and reinfusing a patient's own blood. This procedure is commonly used in surgeries and medical procedures to avoid the risk of blood transfusions and potential complications.

Uses:
The Autologous blood process is primarily used in surgeries and medical procedures where there is a risk of significant blood loss. By collecting and reinfusing a patient's own blood, the procedure helps to minimize the risk of blood transfusion reactions and complications such as infections, immune reactions, and mismatched blood types.

Common reasons to perform the procedure:
Some common reasons for performing the Autologous blood process include surgeries such as joint replacement, cardiac surgery, and organ transplants, as well as medical procedures such as chemotherapy and radiation therapy. These procedures often involve significant blood loss and the use of donated blood can increase the risk of complications, making the Autologous blood process a preferred option.

Relevant medical conditions:
The Autologous blood process may be recommended for patients with conditions that increase the risk of blood transfusion complications, such as anemia, clotting disorders, and autoimmune diseases. It may also be used in patients who have a history of adverse reactions to blood transfusions or who have religious or personal","
The autologous blood process is a procedure in which a patient's own blood is collected, processed, and then reinfused back into their body. This may be done prior to surgery in order to reduce the need for blood transfusions during the procedure."
86891,Autologous blood op salvage,"CPT code Autologous blood op salvage is used to describe the process of collecting and reinfusing a patient's own blood during a surgical procedure. This procedure is typically performed in situations where the patient may require a large amount of blood transfusions during the surgery, such as in cases of major trauma or extensive surgeries. By using the patient's own blood, the risk of transfusion reactions and infections is reduced. This procedure involves collecting the blood that is lost during the surgery, processing it, and then reinfusing it back into the patient's body. This helps to maintain the patient's blood volume and reduce the need for donor blood transfusions.

Uses of the Procedure: 
Autologous blood op salvage is commonly used in surgeries that may result in a large amount of blood loss, such as open heart surgery, orthopedic surgery, and organ transplants. It is also used in cases where the patient may have a rare blood type or a history of transfusion reactions, making it difficult to find compatible donor blood. This procedure is also beneficial for patients who may have medical conditions that make them more susceptible to infections, as using their own blood reduces the risk of contracting infections from donor blood.

Common Reasons to Perform the Procedure: 
There are several reasons why","
Autologous blood op salvage is a medical procedure in which a patient's own blood is collected and reused during a surgery to reduce the need for blood transfusions. This procedure may be done during a major surgery, such as a cardiac bypass, to decrease the risk of complications from receiving donated blood."
86927,Plasma fresh frozen,"CPT code for plasma fresh frozen is used to describe the process of collecting and storing plasma from donated blood. 

Uses:
This procedure code is used for the preparation and storage of plasma, which can then be used for transfusions or as a source of blood products for various medical treatments.

Common Reasons to Perform the Procedure:
Plasma fresh frozen is commonly performed in emergency situations where there is a need for immediate blood transfusion, such as in cases of severe bleeding or trauma. It is also used for patients with bleeding disorders, liver disease, and immune deficiencies.

Relevant Medical Conditions:
Plasma fresh frozen is relevant for patients with conditions that require replacement of blood components, such as those with bleeding disorders or liver disease. It is also used for patients with immune deficiencies, where the plasma can provide necessary antibodies. Additionally, this procedure code is relevant for patients in emergency situations where immediate blood transfusion is necessary to save their life.",Plasma fresh frozen is a medical procedure where plasma is separated from whole blood and frozen for future use. It is commonly used in blood transfusions for patients with clotting disorders or severe burns.
86930,Frozen blood prep,"The CPT procedure code for Frozen blood prep is used to describe the process of preparing frozen blood for use in medical procedures. This code is typically used to bill for the time, equipment, and supplies involved in preparing the frozen blood.

Uses:
Frozen blood prep is commonly used in medical procedures such as blood transfusions, stem cell transplants, and bone marrow transplants. It is also used in research studies and clinical trials that require frozen blood samples.

Common reasons to perform the procedure:
The procedure is performed to ensure the safety and effectiveness of blood products before they are used in medical procedures. This includes testing for infectious diseases, matching the blood type of the donor and recipient, and freezing the blood to preserve its shelf life.

Relevant medical conditions:
Frozen blood prep is used in various medical conditions such as anemia, cancer, and blood disorders. It is also used in emergency situations where a patient may require a blood transfusion or in cases where a patient's blood needs to be stored for future use. Additionally, frozen blood prep may be necessary for patients undergoing chemotherapy or radiation therapy, as these treatments can damage the bone marrow and require a bone marrow transplant. ","
Frozen blood prep is a procedure used to prepare blood samples for long-term storage by rapidly freezing them. This may be done in cases where blood needs to be stored for future testing or for use in transfusions."
86931,Frozen blood thaw,"CPT Code: 86985 - Thawing of frozen blood or blood components, each unit

The CPT code 86985 is used for the procedure of thawing frozen blood or blood components. It is a common procedure performed in medical settings, particularly in blood banks and transfusion services, to prepare frozen blood products for use. Frozen blood is typically stored at temperatures below -20 degrees Celsius and must be thawed before it can be used for transfusions or other medical purposes. This procedure is essential to ensure that the blood is at the appropriate temperature and consistency for safe and effective use. Some common reasons to perform this procedure include transfusions for patients with anemia, bleeding disorders, or undergoing surgery. Relevant medical conditions that may require the use of thawed blood include severe blood loss, hemophilia, and certain types of cancer. This procedure is performed by trained medical professionals and must follow strict protocols to maintain the safety and integrity of the blood products. ","
Frozen blood thaw is a medical procedure that involves slowly raising the temperature of frozen blood to restore its liquid state for transfusion purposes. This may be done when a patient needs a blood transfusion but the available blood supply is frozen due to storage limitations."
86932,Frozen blood freeze/thaw,"CPT code 86982 is used to describe the process of freezing and thawing of frozen blood for later use. This procedure involves preparing blood samples for storage by freezing them at a specific temperature and then thawing them when needed for testing or transfusion.

Uses of the procedure:
The frozen blood freeze/thaw procedure is commonly used in blood banking and transfusion medicine. It is used to preserve blood samples for future testing, research, or transfusion purposes. This procedure is also helpful in cases where a patient may need multiple blood transfusions, as the frozen blood can be thawed and used as needed.

Common reasons to perform the procedure:
The frozen blood freeze/thaw procedure may be performed for various reasons, such as when a patient needs a blood transfusion but the available blood is not compatible with their blood type. In such cases, frozen blood of the same blood type can be thawed and used instead. This procedure is also useful for storing blood samples for future testing or research, especially in cases where the blood needs to be transported to a different location.

Relevant medical conditions:
The frozen blood freeze/thaw procedure is commonly used in cases of blood transfusions for patients with conditions such as anemia, bleeding disorders, or those undergoing surgery. It is also","
This CPT procedure involves freezing and thawing blood samples for preservation. It may be done to store blood for future use in cases of blood transfusion or for research purposes."
86945,Blood product/irradiation,"This CPT procedure code refers to the process of irradiating blood products, which involves using radiation to destroy any potential harmful cells or pathogens present in the blood. This procedure is typically performed to ensure the safety and effectiveness of blood transfusions.

Uses of the Procedure:
The irradiation of blood products is primarily used to prevent transfusion-associated graft-versus-host disease (TA-GVHD), a rare but potentially life-threatening condition where the transfused blood attacks the recipient's own cells. It is also used to reduce the risk of transfusion-related complications in patients with weakened immune systems, such as those undergoing chemotherapy or organ transplants.

Common Reasons to Perform the Procedure:
The most common reason for performing the irradiation of blood products is to prevent TA-GVHD in patients who are at high risk, such as those with bone marrow or stem cell transplants. It is also commonly used in patients with blood disorders, such as sickle cell disease, or those receiving blood transfusions for other medical conditions. Additionally, it may be used as a precautionary measure for patients with weakened immune systems who are at risk for transfusion reactions.

Relevant Medical Conditions:
The irradiation of blood products is most commonly performed in patients with weakened immune systems, such as those with blood disorders","
This CPT procedure involves the use of blood products that have been irradiated to prevent transfusion-associated graft-versus-host disease. It may be done for patients with weakened immune systems who require blood transfusions to avoid potential complications."
86950,Leukacyte transfusion,"Leukocyte transfusion is a medical procedure that involves the transfusion of white blood cells (leukocytes) from a healthy donor to a patient in need. It is typically used to increase the number of white blood cells in a patient's body, which can help boost their immune system and fight off infections or diseases. This procedure is commonly performed on patients who have a weakened immune system due to various reasons such as cancer, chemotherapy, or bone marrow transplant. 

Uses of the Procedure: 
Leukocyte transfusion is primarily used to increase the number of white blood cells in a patient's body, which can help their immune system fight off infections or diseases. It is commonly used in patients with compromised immune systems, such as those undergoing cancer treatments or bone marrow transplants. This procedure may also be used to treat certain autoimmune disorders, such as severe cases of lupus or rheumatoid arthritis.

Common Reasons to Perform the Procedure: 
Leukocyte transfusion is typically performed when a patient's white blood cell count is low and they are at risk of developing infections or other complications. This can occur in patients with cancer, particularly those undergoing chemotherapy, as the treatment can suppress the production of white blood cells. Patients who have had a bone marrow transplant may also require",Leukacyte transfusion is a medical procedure in which white blood cells are transfused into a patient's body to boost their immune system. This is commonly done in cancer patients undergoing chemotherapy to help prevent infections and restore white blood cell levels.
86960,Vol reduction of blood/prod,"The CPT procedure code for Vol reduction of blood/prod refers to a medical procedure that involves the removal of a specific volume of blood or blood products from a patient's body. This can be done for various reasons, such as treating blood disorders or managing certain medical conditions.

Uses: 
The main use of this procedure is to reduce the volume of blood or blood products in a patient's body. This is typically done to treat conditions such as polycythemia (excess red blood cells), thrombocytosis (excess platelets), or hemochromatosis (excess iron in the blood). It can also be used to manage certain types of blood cancers or to prepare for a blood transfusion.

Reasons to perform: 
There are several reasons why a healthcare provider may choose to perform a vol reduction of blood/prod procedure. Some common reasons include managing the symptoms of a blood disorder, reducing the risk of complications from excess blood or blood products, and preparing for a blood transfusion or other medical procedure.

Relevant medical conditions: 
This procedure may be relevant for patients with conditions such as polycythemia, thrombocytosis, hemochromatosis, or certain types of blood cancers. It may also be relevant for","
This CPT procedure involves removing a portion of blood or blood products from the body. It may be done to treat conditions such as polycythemia or hemochromatosis."
86965,Pooling blood platelets,"CPT procedure code for pooling blood platelets involves the collection and consolidation of platelets from multiple blood donors to create a concentrated platelet product for transfusion.

Uses: This procedure is commonly used in blood banking and transfusion medicine to produce platelet concentrates for patients with low platelet counts or clotting disorders. These concentrates can be used to prevent or treat bleeding episodes in patients undergoing surgery, chemotherapy, or with certain medical conditions such as liver disease or immune thrombocytopenia.

Common reasons to perform the procedure: Pooling blood platelets may be performed in cases where a patient requires a high number of platelets, as single-donor platelet products may not provide enough platelets. It may also be performed when a patient has developed a resistance to platelet transfusions from a single donor. Additionally, this procedure may be necessary in cases where a patient needs platelets from multiple donors due to their blood type or specific antibody requirements.

Relevant medical conditions: Pooling blood platelets is commonly performed for patients with low platelet counts due to conditions such as aplastic anemia, leukemia, or idiopathic thrombocytopenic purpura. It may also be used for patients undergoing surgeries or treatments that can cause a decrease in platelet levels","
Pooling blood platelets is a medical procedure where platelets are collected from multiple donors and combined into one unit. This is typically done in cases of severe bleeding or low platelet count to quickly increase the body's ability to form blood clots and prevent excessive bleeding."
86985,Split blood or products,"CPT code for splitting a unit of blood or blood product into two or more components for use in different therapeutic or diagnostic procedures.

Uses of the procedure:
This procedure is commonly used in blood banking and transfusion medicine to prepare blood products for specific treatments or conditions. It allows for more efficient use of donated blood by separating it into components that can be used for different purposes.

Some common reasons to perform the procedure:
Splitting blood or products is often done to prepare components such as red blood cells, plasma, and platelets for transfusion to patients with different medical conditions. For example, red blood cells may be used to treat anemia, plasma can be used to replace blood volume in cases of severe bleeding, and platelets may be given to patients with bleeding disorders or undergoing chemotherapy.

Relevant medical conditions:
The splitting of blood or products is relevant to a wide range of medical conditions that require blood transfusions, including anemia, bleeding disorders, and certain cancers. It is also used in emergency situations where there is a need for rapid transfusions, such as in cases of severe trauma or during surgery. This procedure is essential in maintaining a safe and adequate blood supply for patients in need.","
Split blood or products is a medical procedure where a unit of blood or blood product is divided into smaller components for use in multiple transfusions. This may be done in cases where a patient needs specific components of blood or to maximize the use of a limited blood supply."
